model,source_dataset,test_dataset,eval_type,seed,checkpoint_path,checkpoint_sha256,best_epoch,mae,mse,rmse,r2,n_samples,total_params,trainable_params,nontrainable_params,model_size_mb,training_time_sec,avg_inference_ms_sample,inference_std_ms,device
TOPIQ_NR_SNR,EPFL,EPFL,in-domain,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_456/best.pt,a04c48fd660d1a902c45dad3b83ff01bfdcd084b42a3ff9ddf3092ec31bafab8,76,0.0373442358813935,0.0022888499989091367,0.04784192720730569,0.9932377717036037,2130,45196934,45196934,0,172.61566162109375,18465.053817510605,11.854038104205065,1.6398508449719238,cuda
TOPIQ_NR_SNR,EPFL,NFFA,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_456/best.pt,a04c48fd660d1a902c45dad3b83ff01bfdcd084b42a3ff9ddf3092ec31bafab8,76,2.453312932024348,10.488377913376757,3.238576525786716,0.12362841504962196,1930,45196934,45196934,0,172.61566162109375,18465.053817510605,12.241556360313929,1.7700719412755337,cuda
TOPIQ_NR_SNR,EPFL,Biofilms,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_456/best.pt,a04c48fd660d1a902c45dad3b83ff01bfdcd084b42a3ff9ddf3092ec31bafab8,76,4.539158342565809,29.083982254901247,5.392956726592681,-1.047438135232377,140,45196934,45196934,0,172.61566162109375,18465.053817510605,11.858454772404261,1.9468443505274446,cuda
TOPIQ_NR_SNR,EPFL,EPFL,in-domain,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_789/best.pt,89c15078e1d4d5c31494edd3c56ecc9b5e87daab4acaea35fdb022fc13c85b81,92,0.03763816726039833,0.0022942006867696634,0.04789781505214683,0.9932219635148308,2130,45196934,45196934,0,172.61566162109375,18359.97097015381,12.445459791192427,1.7498884282395348,cuda
TOPIQ_NR_SNR,EPFL,NFFA,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_789/best.pt,89c15078e1d4d5c31494edd3c56ecc9b5e87daab4acaea35fdb022fc13c85b81,92,2.3778185719653115,9.989205034498946,3.1605703653769437,0.16533752685312186,1930,45196934,45196934,0,172.61566162109375,18359.97097015381,12.275456270405666,1.7359175159766491,cuda
TOPIQ_NR_SNR,EPFL,Biofilms,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_789/best.pt,89c15078e1d4d5c31494edd3c56ecc9b5e87daab4acaea35fdb022fc13c85b81,92,4.467173819882529,28.278287372942064,5.317733292761312,-0.9907192714871347,140,45196934,45196934,0,172.61566162109375,18359.97097015381,12.10383347102574,1.9293264609914467,cuda
TOPIQ_NR_SNR,EPFL,EPFL,in-domain,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_1024/best.pt,e0f773be00807d622f829eda579555cf38ee98840cf365fa341dbc1146fd2e5e,60,0.036304201206690825,0.0021624888247940488,0.04650256793763167,0.9936110959090231,2130,45196934,45196934,0,172.61566162109375,18095.432301282883,12.572594091925822,1.7727405284975688,cuda
TOPIQ_NR_SNR,EPFL,NFFA,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_1024/best.pt,e0f773be00807d622f829eda579555cf38ee98840cf365fa341dbc1146fd2e5e,60,2.434473916656613,10.243816313409878,3.2005962434224466,0.14406311322231313,1930,45196934,45196934,0,172.61566162109375,18095.432301282883,12.506607159431734,1.832745949289047,cuda
TOPIQ_NR_SNR,EPFL,Biofilms,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_1024/best.pt,e0f773be00807d622f829eda579555cf38ee98840cf365fa341dbc1146fd2e5e,60,4.459150067397526,28.190443303045736,5.309467327618255,-0.984535273123931,140,45196934,45196934,0,172.61566162109375,18095.432301282883,13.203770773751396,2.31696698592527,cuda
TOPIQ_NR_SNR,NFFA,EPFL,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/NFFA/seed_42/best.pt,d294b83b9ce3165582454a488abd95139a98f6e642e7999e1ddd7ccb4ef01088,41,1.1657348337307782,1.462724031066087,1.2094312841439512,-3.3215037409214556,2130,45196934,45196934,0,172.61566162109375,14954.961696863174,12.634688028147522,2.3831620313074198,cuda
